,acousticness,artist,danceability,date,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,position,speechiness,stream,tempo,time_signature,track_name,url,valence
50,0.0778,Jonas Blue,0.696,2017-01-01,201254.0,0.743,0.0,6.0,0.0581,-3.838,1.0,51.0,0.0331,81787.0,122.978,4.0,By Your Side,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,0.644
51,0.0199,DJ Snake,0.611,2017-01-01,220573.0,0.7,0.0,9.0,0.0549,-5.331,1.0,52.0,0.0436,79886.0,104.981,4.0,Middle,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,0.213
52,0.206,Los Angeles Azules,0.737,2017-01-01,216000.0,0.696,0.000181,8.0,0.0776,-4.715,1.0,53.0,0.032,78877.0,92.979,4.0,Mis Sentimientos,https://open.spotify.com/track/66NNoydhDCKHjBZjO4OnNm,0.858
53,0.0123,Justin Timberlake,0.667,2017-01-01,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,54.0,0.0749,77856.0,113.03,4.0,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,0.701
54,0.00835,Twenty One Pilots,0.645,2017-01-01,214507.0,0.713,0.0,6.0,0.113,-5.355,1.0,55.0,0.0393,77830.0,74.989,4.0,Ride,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,0.566
55,0.199,Calvin Harris,0.63,2017-01-01,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,56.0,0.0331,76482.0,123.963,4.0,This Is What You Came For,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0.465
56,0.148,Luis Miguel,0.78,2017-01-01,191973.0,0.877,2.36e-06,6.0,0.0627,-3.683,0.0,57.0,0.0427,76124.0,133.263,4.0,Ahora Te Puedes Marchar,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E,0.909
57,0.144,Maluma,0.782,2017-01-01,181269.0,0.791,0.0,11.0,0.169,-6.038,0.0,58.0,0.102,73541.0,96.022,4.0,Sin Contrato,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,0.896
58,0.0462,Twenty One Pilots,0.734,2017-01-01,202333.0,0.637,2.29e-05,4.0,0.0602,-5.677,0.0,59.0,0.141,72536.0,169.977,4.0,Stressed Out,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,0.648
59,0.32,Los Angeles Azules,0.734,2017-01-01,216107.0,0.435,0.0,11.0,0.293,-8.162,0.0,60.0,0.0624,72135.0,81.146,4.0,El Listón De Tu Pelo,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,0.763
60,0.141,Reik,0.593,2017-01-01,207187.0,0.691,0.0,2.0,0.114,-7.638,1.0,61.0,0.0253,70182.0,99.946,4.0,Qué Gano Olvidándote,https://open.spotify.com/track/7iXRsjttPa62GpOcqsx1aE,0.2
