,AUTOR,TITULO,LETRA
83,Enrique Iglesias,"Bailando (English Version) by Enrique Iglesias (Ft. Descemer Bueno, Gente De Zona & Sean Paul)","bless them and there ain't no stress this one is straight for di girl 'em enrique iglesias longside gente de zona (deceme) get di girl dem in a di zone and there's a big bone sean a-paul a me deh ya what me tell 'em 'pon the throne lockin' it just like that fi girl dem weh move 'pon track sean a-paul, let me tell ya enrique, sing for them, do it you look at me and, girl, you take me to another place (because me need it baby girl) got me feeling like i’m flying, like i’m out of space (heart beat) something ‘bout your body says, ""come and take me"" (because me need it baby girl) got me begging, got me hoping that the night don’t stop (rock that body cause we don’t stop party) (bailando, bailando, bailando, bailando) tu cuerpo y el mío llenando el vacío subiendo y bajando (subiendo y bajando) (bailando, bailando, bailando, bailando) ese fuego por dentro me está enloqueciendo me va saturando girl, i like the way you move come and show me what to do you can tell me that you want me girl, you got nothing to lose i can’t wait no more (ya no puedo mas) i can’t wait no more (ya no puedo mas) she a go love when me a set it cause you nah say me nah pet it me a tell you no fi fret it any time when me get it it's gonna be alright we taking it full flight we doing this all night baby girl i wanna be contigo and live contigo, and dance contigo para have contigo una noche loca (una noche loca) ay besar tu boca (y besar tu boca) i wanna be contigo and live contigo, and dance contigo para have contigo una noche loca (with you girl) con tremenda loca oh oh oh bae baby girl oh oh ohhaaa stay with me, girl! oh oh ohhh play with me, girl! oh oh ohaaa bae baby girl i look at you and it feels like paradise (estoy en otra dimencion) you got me spinning, got me crazy, got me hypnotized (tus latidos aceleran a mi corazon) (heart beat) i need your love, i need you closer (because me need it baby girl) keep me begging, keep me hoping that the night don’t stop (rock that body cause we don’t stop party) (bailando, bailando, bailando, bailando) tu cuerpo y el mío llenando el vacío subiendo y bajando (subiendo y bajando) (bailando, bailando, bailando, bailando) ese fuego por dentro me está enloqueciendo me va saturando girl, i like the way you move come and show me what to do you can tell me that you want me girl, you got nothing to lose i can’t wait no more (ya no puedo mas) i can’t wait no more (ya no puedo mas) she a go love when me a set it cause you nah say me nah pet it me a tell you no fi fret it any time when me get it it's gonna be alright we taking it full flight we doing this all night baby girl i wanna be contigo and live contigo, and dance contigo para have contigo una noche loca (una noche loca) ay besar tu boca (y besar tu boca) i wanna be contigo and live contigo, and dance contigo para have contigo una noche loca con tremenda loca baby girl you a di bomb bomb to the top top killin dem with one drop the way you move girl , make me heart beat whilst tik a tik a tok never gonna stop girl make mi heart burn when you twist it and turn, turn energy you give me girl a you run the world sexy body shape and you're full a body curves make mi body tense you a rise up me nerve long time you looking you fi listen my word oh oh oh come, baby girl? oh oh oh bae baby girl oh oh ohhaaa stay with me, girl! oh oh ohhh play with me, girl! oh oh ohaaa bae baby girl"
84,Enrique Iglesias,Move to Miami by Enrique Iglesias (Ft. Pitbull),"she gon' make you move to miami she moving like a gypsy (gypsy, gypsy) her body got me tipsy i should take a step back, fall back this girl got me feelin' risky she ready for the taking and i got the motivation (yeah!) 'cause when you see her dance there's a chance you might not come home from vacation and if you look, you'll fall in love she got that ass, she make it clap she'll leave you shook and now you hooked the way she dance she gon' make you move to miami she gon' make you she gon' make you move she gon' make you move to miami she gon' make you she gon' make you move she gon' make you move to miami uh yeah, yeah! she gon' make you move to miami monday, tuesday, wednesday thursday, friday, we gon' party freakin' every weekend, baby, we just getting started (wuh!) y síguete moviendo que todos te están viendo damn, you got me, girl, that body's built like a bugatti (skrt, skrt, skrt) and if you look, you'll fall in love (fall in love) she got that ass, she make it clap (make it clap) she'll leave you shook and now you hooked (now you hooked) the way she dance she gon' make you move to miami she gon' make you she gon' make you move she gon' make you move to miami she gon' make you she gon' make you move she gon' make you move to miami yeah! uh yeah, yeah! (yeah) wuuuh, uh! she gon' make you move to miami what happens in miami, never happened she said ""no hands"", booty still clapping she wanna be eve, baby, here's an apple (haha) welcome to the booty shakin' capital m.i.a where the mamis off the chain (heh) where the mamis get loose (heh) where the mamis don't play (heh) where their body's like ""boom!"" (heh) where their booty's like ""bang!"" (heh, heh) ya tú sabe', man she gon' make you (wuuuh!) she gon' make you move she gon' make you move to miami she gon' make you she gon' make you move she gon' make you move to miami yeah! uh yeah, yeah! (yeah) she gon' make you move to miami uh yeah, yeah! (uh, yeah) she gon' make you move to miami she gon' make you move to miami (to miami, move to miami)"
85,Enrique Iglesias,SUBEME LA RADIO (ENGLISH REMIX) by Enrique Iglesias (Ft. Matt Terry & Sean Paul),"súbeme la radio sunshine in the rain in the mind is the pain tra-tráeme el alcohol deep on me heart like stain (yeah, yeah) súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol i wanted you forever don't act like you don't feel it i should have loved you better but i still can't believe (remember that girl!) it's killing me that you're gone how the hell do i move on i'm drinking from this bottle cause i can't take it no more (hear me, i tell you) alright then girl, yo light fall on my hallways, i feel awake baby girl, come and look me i see you face remember the days when we would blaze and everything was amazing súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol my body on your body (hey!) my heart against your heart but when i go to touch you i just wake up in the dark (bdabang bang bang) you gotta know that i miss you i can never forget you girl i know i gotta let it go but i wish that i was with you súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol tell you this make your body turn twist, make you reminisce baby girl cause you know so me never miss though ya gone from me life, me remember this how me and you turn into enemies sunshine on me life mia memories to get you back into me life i swear it is, i swear it is baby girl you drain all my energies yo no te miento todavía te espero sabes bien que te quiero no sé vivir sin ti yo no te miento todavía te espero sabes bien que te quiero no sé vivir sin ti súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol súbeme la radio sunshine in the rain in the mind is the pain tra-tráeme el alcohol deep on me heart like stain (yeah, yeah) súbeme la radio"
86,Enrique Iglesias,Duele El Corazón by Enrique Iglesias (Ft. Wisin),"solo en tu boca yo quiero acabar todos esos besos que te quiero dar a mí no me importa que duermas con el porque se que sueñas con poderme ver mujer que vas a hacer decídete pa' ver si te quedas o te vas si no, no me busques más si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies con el te duele el corazón y conmigo te duelen los pies con el te duele el corazón y conmigo te duelen los pies solo con un beso yo te haría acabar ese sufrimiento que te hace llorar a mí no me importa que vivas con él porque se que mueres con poderme ver mujer que vas a hacer decídete pa' ver si te quedas o te vas si no, no me busques más si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies con el te duele el corazón y conmigo te duelen los pies (yeah) con el te duele el corazón y conmigo te duelen los pies quién es el que te quita el frío te vas conmigo, rumbeamos con él lloras casi un río tal vez te da dinero y tiene poderío pero no te llena tu corazón sigue vacío pero conmigo rompe la carretera bandolera si en tu vida hay algo que no sirve sácalo pa' fuera a ti nadie te frena la super-guerrera yo sé que tu eres una fiera dale sácalo pa' fuera si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies si te vas, yo también me voy si me das, yo también te doy mi amor bailamos hasta la diez hasta que duelan los pies con el te duele el corazón y conmigo te duelen los pies con el te duele el corazón y conmigo te duelen los pies solo con un beso yo quiero acabar ese sufrimiento que te hace llorar"
87,Enrique Iglesias,SUBEME LA RADIO (English Version) by Enrique Iglesias (Ft. Sean Paul),"enrique iglesias & sean paul: súbeme la radio sun shine in the rain in the mind is the pain tra-tráeme el alcohol there pon me heart like stain yeah yeah enrique iglesias & sean paul: súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away enrique iglesias: súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol enrique iglesias: i wanted you forever dont act like you dont feel it i should have loved you better but i still can't believe (remember that girl!) its killing me that you're gone how the hell do i move on i am drinking up this bottle cause i can't take it no more sean paul: hear me, i tell you alright then girl, yo lights on in the hallways, i feel awake baby girl cause mi look, me no see your face remember the days when we would blaze and everything was amazing enrique iglesias & sean paul: súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away enrique iglesias: súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol enrique iglesias: my body on your body (heey!) my heart against your heart but when i go to touch you i just wake up in the dark (bdabang bang bang) you gotta know that i miss you i can never forget you girl i know i gotta let it go but i wish that i was with you enrique iglesias & sean paul: súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away enrique iglesias: súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol sean paul: tell you this make your body turn twist, make your remanence baby girl cause you no say me never miss though ya gone from me life , me ah pay a this how me and you turnin to enemies sunshine in a me life deh memories to get you back in a me yard i swear its, i swear its baby girl you are drain out mi energies enrique iglesias: yo no te miento todavía te espero sabes bien que te quiero no sé vivir sin ti enrique iglesias & sean paul: súbeme la radio que esta es mi canción siente el bajo que va subiendo time will heal it but now we feel it turn up the music and run pain away enrique iglesias: súbeme la radio que esta es mi canción siente el bajo que va subiendo tráeme el alcohol que quita el dolor hoy vamos a juntar la luna y el sol"
88,Enrique Iglesias,Tonight (I'm Fuckin' You) by Enrique Iglesias (Ft. DJ Frank E & Ludacris),"you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh you-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh i know you want me i made it obvious that i want you too so put it on me let's remove the space between me and you now rock your body, oh-oh damn i like the way that you move so give it to me, oh, oh-oh-oh 'cause i already know what you wanna do here's the situation, been to every nation nobody's ever made me feel the way that you do you know my motivation, given my reputation please excuse me i don't mean to be rude but tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh you're so damn pretty if i had a type, then baby it would be you i know you're ready if i never lied then, baby, you'll be the truth here's the situation, been to every nation nobody's ever made me feel the way that you do you know my motivation, given my reputation please excuse me, i don't mean to be rude but tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh (hah! luda) tonight i'm gonna do everything that i want with you everything that you need, everything that you want i wanna honey, i wanna stunt with you from the window to the wall, gotta give you my all winter and the summertime when i get you on the springs, i'ma make you fall you got that body that make me want to get up on the floor just to see you dance and i love the way you shake that ass turn around and let me see them pants you stuck with me, i'm stuck with you let's find something to do please excuse me, i don't mean to be rude but tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh, that tonight i'm fuckin' you oh-oh, you know-oh that tonight i'm fuckin' you yeah, tonight i'm fuckin' you yeah"
89,Enrique Iglesias,Hero by Enrique Iglesias,"let me be your hero would you dance if i asked you to dance? would you run and never look back? would you cry if you saw me crying? would you save my soul, tonight? would you tremble if i touched your lips? would you laugh? oh please tell me this now would you die for the one you loved? hold me in your arms, tonight i can be your hero, baby i can kiss away the pain i will stand by you forever you can take my breath away would you swear that you'll always be mine? or would you lie? would you run and hide? am i in too deep? have i lost my mind? i don't care, you're here tonight i can be your hero, baby i can kiss away the pain i will stand by you forever you can take my breath away oh, i just want to hold you i just want to hold you oh, yeah am i in too deep? have i lost my mind? well, i don't care you're here tonight i can be your hero baby i can kiss away the pain (oh yeah) i will stand by you forever you can take my breath away i can be your hero i can kiss away the pain and i will stand by you forever you can take my breath away you can take my breath away i can be your hero"
90,Julieta Venegas,Eres para Mí by Julieta Venegas (Ft. Ana Tijoux),"eres para mi, me lo ha dicho el viento eres para mi, lo oigo todo el tiempo eres para mi, me lo ha dicho el viento eres para mi la sombra que pasa la luz que me abraza tus ojos mirándome la calle que canta su canto de diario el mundo moviéndose y yo se, que tienes miedo y no es un buen momento para ti y para esto que nos viene sucediendo pero eres para mi, me lo ha dicho el viento eres para mi, lo oigo todo el tiempo eres para mi, me lo ha dicho el viento eres para mi el espejo que da su reflejo en todo lo pinta tal como es mi cuerpo que no tiene peso si escucho tu voz llamándome y yo se, que tienes miedo y no es un buen momento para ti y para esto que nos viene sucediendo temes sentir mas de la cuenta el corazón es un musculo si no late revienta extraño, mirarte de lejos de hacernos los tontos parecemos tan viejos tiempo, que dices tiempo mírame la piel no ves acaso lo que siento tu eres para mi yo soy para ti el viento me lo dijo con un soplo suavecillo y yo se, que tienes miedo y no es un buen momento para ti (para mi) y para esto que nos viene sucediendo pero eres para mi, me lo ha dicho el viento eres para mi, lo oigo todo el tiempo eres para mi,  (tal para cual como el mar y la sal) ​me lo ha dicho el viento eres para mi (sigue mi cadencia pierdo la paciencia) (tu eres para mi no te das cuenta) eres para mi (eres para mi yo soy para ti) (el viento me lo dijo con un soplo suavecillo) eres para mi, (eres para mi) ​lo oigo todo el tiempo eres para mi, (eres para mi) me lo ha dicho el viento (yo soy para ti) eres para mi, (eres para mi) lo oigo todo el tiempo (yo soy para ti) eres para mi (eres para mi) (yo soy para ti) eres para mi (eres para mi) (yo soy para ti) tu eres para mi yo soy para ti"
91,Julieta Venegas,Me Voy by Julieta Venegas,porque no supiste entender a mi corazón lo que había en él porque no tuviste el valor de ver quien soy porque no escuchas lo que está tan cerca de ti sólo el ruido de afuera y yo que estoy a un lado desaparezco para ti no voy a llorar y decir que no merezco esto porque es probable que lo merezco pero no lo quiero por eso me voy que lástima pero adiós me despido de ti y me voy que lástima pero adiós me despido de ti porque sé que me espera algo mejor alguien que sepa darme amor de ese que endulza la sal y hace que salga el sol yo que pensé nunca me iría de ti que es amor del bueno de toda la vida pero hoy entendí que no hay suficiente para los dos no voy a llorar y decir que no merezco esto porque es probable que lo merezco pero no lo quiero por eso me voy que lástima pero adiós me despido de ti y me voy que lástima pero adiós me despido de ti
92,Julieta Venegas,Tu Cárcel by Julieta Venegas,te vas amor si así lo quieres ¿qué puedo yo hacer? tu vanidad no te deja entender que en la pobreza se sabe querer quiero llorar y me destroza que pienses así y más que ahora me quedé sin ti me duele lo que tú vas a sufrir pero recuerda nadie es perfecto y tú lo verás más de mil cosas mejores tendrás pero cariño sincero jamás vete olvidando de esto que hoy dejas y que cambiarás por la aventura que tú ya verás será tu cárcel y nunca saldrás quiero llorar y me destroza que pienses así y más ahora me quedé sin ti me duele lo que tú vas a sufrir pero recuerda nadie es perfecto y tú lo verás más de mil cosas mejores tendrás pero cariño sincero jamás vete olvidando de esto que hoy dejas y que cambiarás por la aventura que tú ya verás será tu cárcel y nunca saldrás
93,Julieta Venegas,"Buenas Noches, Desolación by Julieta Venegas","buenas noches, desolación ya no quiero, nada contigo, no buenas noche y desde hoy volveré siguiendo otro camino por que la tristeza termino ya no esta conmigo, tiene otro destino de repente un día desapareció no la necesito, todo esta distinto fue solo un momento lejos de mi centro, pero ya regrese la melancolía, todo lo cubría suerte, ya lo pase en verdad nunca me arrepentí todo lo vivido me ha servido todo viene y va, y yo sigo entero aquí ya no necesito, de tu compañía buenas noches, desolación buenas noches, desolación buenas noches, desolación buenas noches, desolación"
94,Julieta Venegas,Tu Calor by Julieta Venegas,"siento tu calor cuando voy caminando por la calle sé reconocer muy bien lo que es siento tu calor me envuelve me hace ver todo bueno el día lleno de luz brilla a mi alrededor siento tu calor llego por fin muy a tiempo y todo muy bien, estoy bañada de luz y de ilusión tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso lo que paso siento tu calor, invadió mi territorio lo marco tuvo el valor de entrar y darme la oportunidad siento tu calor, lo que estaba ya cerrado lo abrió quito la sombra y todo aplasto, me reanimo siento tu calor llego por fin muy a tiempo y todo muy bien, estoy bañada de luz y de ilusión tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso tu deseo ya calienta mi corazón va latiendo a tiempo, olvida lo que paso lo que paso lo que paso lo que paso lo que paso...."
95,Julieta Venegas,Lento by Julieta Venegas,si quieres un poco de mí me deberias esperar y caminar a paso lento muy lento y poco a poco olvidar el tiempo y su velocidad frenar el ritmo ir muy lento mas lento (coro) sé delicado y esperar dame tiempo para darte todo lo que tengo sé delicado y esperar dame tiempo para darte todo lo que tengo si quieres un poco de mí dame paciencia y verás sera mejor que andar corriendo levantar vuelo y poco a poco olvidar el tiempo y su velocidad frenar el ritmo ir muy lento cada vez mas lento... (coro) ---puente--- si me hablas de amor si suavizas mi vida no estaré más tiempo sin saber que siento... (coro)
96,Julieta Venegas,Andar Conmigo by Julieta Venegas,hay tanto que quiero contarte hay tanto que quiero saber de ti ya podemos empezar poco a poco cuentame que te trae por aqui! no te asustes de decirme la verdad eso nunca puede estar asi tan mal yo tambien tengo secretos para darte y que sepas que ya no me sirven mas hay tantos caminos por andar... dime si tu quisieras andar conmigo ooh.. ooohh cuentame si quisieras andar conmigo ooh...ooohh dime si tu quisieras andar conmigo ooh.... ooohh cuentame si quisieras andar conmigo ooh...ooohh estoy ansiosa por soltarlo todo desde el principio hasta llegar al dia de hoy una historia tengo en mi para entregarte una historia todavia sin final podriamos decirnos cualquier cosa incluso darnos para siempre un siempre no pero ahora frente a frente aqui sentados festejemos que la vida nos cruzo hay tantos caminos por andar.... dime si tu quisieras andar conmigo ooh.. ooohh cuentame si quisieras andar conmigo ooh...ooohh dime si tu quisieras andar conmigo ooh.... ooohh cuentame si quisieras andar conmigo ooh...ooohh si quisieras andar conmigo si quisieras andar conmigo si quisieras andar conmigo si quisieras andar conmigo
97,Julieta Venegas,Todo Está Aquí by Julieta Venegas,"te entregaré un amor tan delicado como nunca viste y no se repite me entregaré y no habrá duda posible mi alma estará siempre cerca de ti pero hoy solo puedo darte este día y lo que soy en este momento todo esta aquí todo esta aquí no me hagas pensar en lo que vendrá después todo esta aquí todo esta aquí esta es la felicidad la felicidad prometeré, y puede que no cumpla si me invitas yo bailo siguiéndote te soltare toda la belleza y quizás un día te muestre la verdad pero hoy solo puedo darte este día y lo que soy en este momento"
98,Julieta Venegas,Limón Y Sal by Julieta Venegas,tengo que confesar que a veces no me gusta tu forma de ser luego te me desapareces y no entiendo muy bien por qué no dices nada romántico cuando llega el atardecer te pones de un humor extraño con cada luna llena al mes pero a todo lo demás le gana lo bueno que me das sólo tenerte cerca siento que vuelvo a empezar yo te quiero con limón y sal yo te quiero tal y como estás no hace falta cambiarte nada yo te quiero si vienes o si vas si subes y bajas y no estás seguro de lo que sientes tengo que confesarte ahora nunca creí en la felicidad a veces algo se le parece pero es pura casualidad luego me vengo a encontrar con tus ojos me dan algo más sólo tenerte cerca siento que vuelvo a empezar yo te quiero con limón y sal yo te quiero tal y como estás no hace falta cambiarte nada yo te quiero si vienes o si vas si subes y bajas y no estás seguro de lo que sientes sólo tenerte cerca siento que vuelvo a empezar
99,Julieta Venegas,Te voy a mostrar by Julieta Venegas,"la verdad, quería que me miraras y que a través de el río de gente adivinaras que era para ti que a través de todo me reconocieras la verdad quería que detuvieras todo lo demás por algo que viste igual que yo al verte supe que algo en tu mirada me estaba llamando ven, te voy a mostrar por qué la vida nos puso en el mismo camino ven, te voy a mostrar por qué estoy convencida que eres mío convencida que soy la mujer para ti no me dejes ir... la verdad, yo no buscaba nada pero te encontré creí haber visto todo pero juro que al verte supe que algo en mí siempre te estuvo esperando ven, te voy a mostrar por qué la vida nos puso en el mismo camino ven, te voy a mostrar por qué estoy convencida que eres mío soy para ti, lo sé lo supe desde la primera vez quédate conmigo y ve como te puedo hacer feliz ven, te voy a mostrar por qué la vida nos puso en el mismo camino ven, te voy a mostrar convencida que soy la mujer para ti no me dejes ir por qué estoy convencida que eres mío"
100,Alejandro Fernandez,Sé Que Te Duele by Alejandro Fernández (Ft. Morat),"sé que te duele que ya no quiera verte aunque por las noches me esperes que ya eres una más y en el mundo hay tantas mujeres sé que te duele ay cómo te duele que te quedaste sola y que no soy ya el que te quiere que no puedes mentirme, que ya sé bien quién eres cómo te duele tú te enamoraste de mi voz y aunque siempre estuve contigo tú nunca estuviste conmigo y ahora que por fin te dije adiós hoy quieres quedarte conmigo y ya no quiero nada contigo sé que te duele saber que mis canciones y nuestro amor ya no riman que aunque de amor te mueras, nuestros recuerdos aun vivan y te persigan sé que te duele que vayas en las noches enamorando mentiras porque con ese clavo sólo abrirás otra herida pero mi vida, verte perdida también me duele, oh oh oh oh (oh) también me duele, oh oh oh oh (oh) todo te di en cada beso una canción en cada noche una razón para quedarte junto a mí todo te di, que en la batalla del amor sé que he peleado con honor te lo di todo y lo perdí (yo te lo di todo y lo perdí) tú te enamoraste de mi voz y aunque siempre estuve contigo y tú nunca estuviste conmigo, ohhh... y ahora que por fin te dije adiós hoy quieres quedarte conmigo y ya no quiero nada contigo sé que te duele saber que mis canciones y nuestro amor ya no riman que aunque de amor te mueras, nuestros recuerdos aun vivan y te persigan sé que te duele que vayas en las noches enamorando mentiras porque con ese clavo sólo abrirás otra herida pero mi vida, verte perdida también me duele, oh oh oh oh (oh) también me duele, oh oh oh oh (oh) también me duele porque te quise tanto y aun el amor no se muere y aunque quiera mentirte siempre seré el que te quiere ay cómo me duele sé que te duele (ay cómo te duele) que vayas en las noches enamorando mentiras (muchas van y vienen) porque con ese clavo sólo abrirás otra herida (de esas que no mueren) pero mi vida, verte perdida (aunque no me quieres) también me duele (tú también me dueles, también me dueles) también me duele, oh oh oh oh (oh) también me duele"
101,Alejandro Fernandez,Nube Viajera by Alejandro Fernández,"ay amor aquí estoy preso de tu recuerdo en mi soledad ay amor son tantos años y no hay remedio para mi mal ay amor estoy vencido, no tengo fuerzas para luchar ay amor no cabe duda que sigo siendo sentimental ¿dónde estás? ¿qué cielo cruzas sin extrañarme, nube perdida? ¿por qué no vienes a iluminarme? luz de mi vida regresa pronto que yo no vivo, si no es por ti ¿dónde estás? detén tu vuelo y vuelve a casa, nube viajera por una sola de tus caricias, todo lo diera aunque volvieras de nuevo a irte lejos de mí ¿dónde estás? ¿qué cielo cruzas sin extrañarme, nube perdida? ¿por qué no vienes a iluminarme? luz de mi vida regresa pronto que yo no vivo, si no es por ti ¿dónde estás? detén tu vuelo y vuelve a casa, nube viajera por una sola de tus caricias, todo lo diera aunque volvieras de nuevo a irte lejos de mí"
102,Alejandro Fernandez,Canta Corazón by Alejandro Fernández,"canta corazón que mis ojos ya la vieron por aquí que he soñado con su risa, que he pasado por su casa que ha venido porque quiere ser feliz canta corazón que el amor de mis amores ya esta aquí que he guardado en cada carta, que escribí con las palabras que sembraste en cada beso que te di y con el tiempo te pensaba aferrada a mis manos y con la lluvia consolaba tu ausencia en los años y con el tiempo yo sabía que algún día morirías por volver te lo dije cantando te lo dije de frente que volverías conmigo volverías porque no quieres perderme te lo dije cantando te lo dije de frente que sin mis besos no puedes empezar una mañana y sacarme de tu vida, y de tu mente canta corazón que en la vida estaba escrito que ella y yo eramos abril y marzo una gota en el desierto que íbamos a estar tan juntos como la luna y el sol y con el tiempo te pensaba aferrada a mis manos y con la lluvia consolaba tu ausencia en los años y con el tiempo yo sabía que algún día morirías por volver te lo dije cantando te lo dije de frente que volverías conmigo volverías porque no quieres perderme te lo dije cantando te lo dije de frente que sin mis besos no puedes empezar una mañana y sacarme de tu vida, y de tu mente te lo dije cantando te lo dije de frente que volverías conmigo volverías porque no quieres perderme te lo dije cantando te lo dije de frente que sin mis besos no puedes empezar una mañana y sacarme de tu vida, y de tu mente"
103,Alejandro Fernandez,Me Hace Tanto Bien by Alejandro Fernández,a veces te digo no porque no quiero dejarme a mí lágrimas del corazón tengo miedo de perderte advierto que la razón se puede quebrar de amor y desbordar los sentimientos que tanto tiempo tuve dentro si te gano pierdo igual si pierdo es porque me entrego es algo tan natural tener el control del juego es algo que no me va te dejo la libertad de hacer conmigo lo que quieras de quererme a tu manera y yo soy la hoja que lleva el viento que va volando a tu alrededor y tú el aire que me levanta que me da fuerza para este amor tu amor me hace tanto bien tu amor me hace tanto bien cierro los ojos quiero tenerte cerca sentir tu cuerpo dame tu mano vuela conmigo cruzando el universo y siempre contigo estar no hay otra forma de amar que desbordar los sentimientos que tanto tiempo tuve dentro y yo soy la hoja que lleva el viento que va volando a tu alrededor y tú el aire que me levanta que me da fuerza para este amor y tú la gota de lluvia fresca que va cayendo en mi corazón tu amor me hace tanto bien tu amor me hace tanto bien tu amor me hace tanto bien la gota de lluvia fresca que va cayendo en mi corazón y yo soy la hoja que lleva el viento que va volando a tu alrededor y tú el aire que me levanta que me da fuerza para este amor tu amor me hace tanto bien tu amor me hace tanto bien tu amor me hace tanto bien tu amor me hace tanto bien tu amor me hace tanto bien
104,Alejandro Fernandez,Me Dedique A Perderte by Alejandro Fernández,"¿por qué no te besé en el alma cuando aún podia? ¿por qué no te abracé la vida cuando la tenía? y yo que no me daba cuenta cuánto te dolía y yo que no sabía el daño que me hacía cómo es que nunca me fijé que ya no sonreias y que antes de apagar la luz ya nada me decías que a ti el amor se te escapó, que había llegado el día que ya no me sentías, que ya ni te dolía me dediqué a perderte inocentes momentos que se han ido para siempre me dediqué a no verte y me encerré en mi mundo y no pudiste detenerme y me alejé mil veces y cuando regresé te había perdido para siempre y quise detenerte y entonces descubrí que ya mirabas diferente me dediqué a perderte, me dediqué a perderte ¿por qué no te llené de mi cuando aún había tiempo? ¿por qué no pude comprender lo que a esta hora entiendo? que fuiste todo para mi y que yo estaba ciego, te dejé para luego, este maldito ego me dediqué a perderte inocentes momentos que se han ido para siempre me dediqué a no verte y me encerré en mi mundo y no pudiste detenerme y me alejé mil veces y cuando regresé te había perdido para siempre y quise detenerte y entonces descubrí que ya mirabas diferente me dediqué a perderte, me dediqué a perderte"
105,Alejandro Fernandez,Ella by Alejandro Fernández (Ft. José Alfredo Jiménez),ella me canse de rogarle me canse de decirle que yo sin ella de pena muero ya no quiso escucharme si sus labios se abrieron fue pa' decirme ya no te quiero yo senti que mi vida se perdia en un abismo profundo y negro como mi suerte quise hayar el olvido al estilo jalisco(coro: no te rajes) pero aquellos mariachis y aquel tequila me hicieron llorar me canse de rogarle con el llanto en mis ojos alze mi copa y brinde con ella no podia despreciarme era el ultimo brindis de un bohemio con una reina los mariachis callaron de mi mano sin fuerza cayo mi copa sin darme cuenta ella quizo quedarse cuando vio mi tristeza pero ya estaba escrito que aquella noche perdiera su amor
