,artist_id,artist_name
10426,1036167,Marvin Gaye & Tammi Terrell
10427,944,Marvin Gaye
10428,944,Marvin Gaye
10429,944,Marvin Gaye
10430,944,Marvin Gaye
10431,944,Marvin Gaye
10432,944,Marvin Gaye
10433,944,Marvin Gaye
10434,1617257,Steve Aoki
10435,148541,Elvis Crespo
10436,148541,Elvis Crespo
10437,148541,Elvis Crespo
10438,148541,Elvis Crespo
10439,148541,Elvis Crespo
10440,148541,Elvis Crespo
10441,148541,Elvis Crespo
10442,148541,Elvis Crespo
10443,148541,Elvis Crespo
10444,8662,The Jackson 5
10445,8662,The Jackson 5
10446,8662,The Jackson 5
10447,8662,The Jackson 5
10448,8662,The Jackson 5
10449,8662,The Jackson 5
10450,8662,The Jackson 5
10451,8662,The Jackson 5
10452,8662,The Jackson 5
10453,8662,The Jackson 5
10454,379666,La Sonora Dinamita
10455,379666,La Sonora Dinamita
10456,379666,La Sonora Dinamita
10457,379666,La Sonora Dinamita
10458,379666,La Sonora Dinamita
10459,379666,La Sonora Dinamita
10460,379666,La Sonora Dinamita
10461,379666,La Sonora Dinamita
10462,379666,La Sonora Dinamita
10463,379666,La Sonora Dinamita
10464,13163,Earth
10465,13163,Earth
10466,13163,Earth
10467,13163,Earth
10468,13163,Earth
10469,13163,Earth
10470,13163,Earth
10471,13163,Earth
10472,13163,Earth
10473,13163,Earth
10474,800,Bee Gees
10475,800,Bee Gees
10476,800,Bee Gees
10477,800,Bee Gees
10478,800,Bee Gees
10479,800,Bee Gees
10480,800,Bee Gees
10481,800,Bee Gees
10482,800,Bee Gees
10483,800,Bee Gees
10484,405504,Cardenales De Nuevo Leon Los
10485,372963,Cardenales De Nuevo Leon
10486,372963,Cardenales De Nuevo Leon
10487,372963,Cardenales De Nuevo Leon
10488,372963,Cardenales De Nuevo Leon
10489,372963,Cardenales De Nuevo Leon
10490,405504,Cardenales De Nuevo Leon Los
10491,372963,Cardenales De Nuevo Leon
10492,372963,Cardenales De Nuevo Leon
10493,372963,Cardenales De Nuevo Leon
10494,1217303,Raymix
10495,1217303,Raymix
10496,1217303,Raymix
10497,1217303,Raymix
10498,1217303,Raymix
10499,1217303,Raymix
10500,1217303,Raymix
10501,1217303,Raymix
10502,1217303,Raymix
10503,1217303,Raymix
10504,359607,Vicente Fernández
10505,359607,Vicente Fernández
10506,359607,Vicente Fernández
10507,359607,Vicente Fernández
10508,359607,Vicente Fernández
10509,359607,Vicente Fernández
10510,359607,Vicente Fernández
10511,359607,Vicente Fernández
10512,359607,Vicente Fernández
10513,359607,Vicente Fernández
10514,526323,Grupo Cañaveral De Humberto Pabón
10515,456163,Cumbias viejitas
10516,456163,Cumbias viejitas
10517,456163,Cumbias viejitas
10518,456163,Cumbias viejitas
10519,183638,Salvaje Decibel
10520,364539,Negusa Negast
10521,344693,Carlos Vives
10522,354244,José Feliciano
10523,667887,Coco Jadad
10524,11871,Nach
10525,490779,Banda Sinaloense MS de Sergio Lizárraga
10526,490779,Banda Sinaloense MS de Sergio Lizárraga
10527,490779,Banda Sinaloense MS de Sergio Lizárraga
10528,490779,Banda Sinaloense MS de Sergio Lizárraga
10529,490779,Banda Sinaloense MS de Sergio Lizárraga
10530,490779,Banda Sinaloense MS de Sergio Lizárraga
10531,490779,Banda Sinaloense MS de Sergio Lizárraga
10532,490779,Banda Sinaloense MS de Sergio Lizárraga
10533,490779,Banda Sinaloense MS de Sergio Lizárraga
10534,490779,Banda Sinaloense MS de Sergio Lizárraga
10535,622140,CNCO
10536,622140,CNCO
10537,622140,CNCO
10538,622140,CNCO
10539,622140,CNCO
10540,1631479,CNCO
10541,622140,CNCO
10542,622140,CNCO
10543,622140,CNCO
10544,622140,CNCO
10545,1277364,Loren Allred
10546,1277364,Loren Allred
10547,1433863,Hardwell & Kaaze
10548,59801,Michael Bublé
10549,1509815,Michael Mott
10550,458918,Magnatiz
10551,370868,Sophia Loren
10552,1628123,Shuga & Loren
10553,221669,Odell Shepard
10554,1628123,Shuga & Loren
10555,1277357,Ziv Zaifman
10556,1467954,Ziv Zaifman
10557,133832,Dub Inc
10558,989579,Eigen Makelij
10559,452981,Hidra
10560,58676,Pono
10561,338827,Morbid Angel
10562,553636,Fundacja nr 1
