,Unnamed: 0,artist,date,position,streams,track_name,url
27752,27752,Iggy Azalea,2017-05-19,153,43907,Switch,https://open.spotify.com/track/02LZ1fGJE8fB56yTlCVMEV
27982,27982,Brytiago,2017-05-20,183,38639,Bebé - Remix,https://open.spotify.com/track/2jVJYU4X3aD8hlTco3MlsN
27987,27987,Los Plebes del Rancho de Ariel Camacho,2017-05-20,188,37770,Por Enamorarme,https://open.spotify.com/track/45RaWQq1WhTt8D03FBKHHK
27989,27989,Calibre 50,2017-05-20,190,37485,Las Ultras,https://open.spotify.com/track/2msDy1JG13BnX9knEkgDJw
28285,28285,Liam Payne,2017-05-22,86,59011,Strip That Down,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
28366,28366,Camila Cabello,2017-05-22,167,37092,I Have Questions,https://open.spotify.com/track/3NgCzSW98SsqBdpYcnm4kv
29073,29073,Martin Garrix,2017-05-26,74,77518,There for You,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
29106,29106,Julión Álvarez y su Norteño Banda,2017-05-26,107,57902,Afuera Está Lloviendo,https://open.spotify.com/track/3Pl8hFbxhNvvYDsMTawmVL
29117,29117,Julión Álvarez y su Norteño Banda,2017-05-26,118,52963,Esta Noche Se Me Olvida,https://open.spotify.com/track/3bhE8f2wsd26qEvYAiUlrQ
29180,29180,Shakira,2017-05-26,181,40734,Nada,https://open.spotify.com/track/1D8bmUIhLHEO4KMS2SHwUx
29199,29199,Halsey,2017-05-26,200,38103,Strangers,https://open.spotify.com/track/4C5ewaZ05vyXM23jFJdwd4
29252,29252,Carlos Vives,2017-05-27,53,106180,La Bicicleta,https://open.spotify.com/track/0jSMnY1V9iLW5dJwC6PQly
29340,29340,Shakira,2017-05-27,141,45278,Perro Fiel (feat. Nicky Jam),https://open.spotify.com/track/0n9lX8fTGbGMencldWHGuv
29377,29377,Shakira,2017-05-27,178,39463,Trap (feat. Maluma),https://open.spotify.com/track/6h40a4nnPXwV2gkyRCVsr0
29546,29546,OneRepublic,2017-05-28,147,38362,No Vacancy,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
