,Unnamed: 0,artist_id,artist_name
2154,2154,1451602,Dante Klein & Jantine
2157,2157,1537265,Dante Klein & Cat Carpenters
2158,2158,1742123,Dante Klein
2160,2160,369334,Sin Bandera
2190,2190,1515613,MYA
2191,2191,1012056,Feid
2220,2220,343645,Panteón Rococó
2230,2230,984358,Starley
2260,2260,4,Lil Wayne
2262,2262,1105909,Nicki Minaj
2264,2264,1487427,Drake
2267,2267,1561539,Lil Wayne
2280,2280,2578,David Guetta
2284,2284,1558945,Jason Derulo & David Guetta
2287,2287,1385162,Sean Paul & David Guetta
2288,2288,1431146,David Guetta & Sia
2289,2289,1249778,David Guetta & Afrojack
2290,2290,13763,Christina Perri
2300,2300,876839,Mike Perry
2302,2302,1091747,Mike Perry & Hot Shade
2305,2305,1039160,Hot Shade & Mike Perry
2310,2310,360787,Carlos Baute
2320,2320,365,John Legend
2328,2328,1589686,John Legend & WENDY
2330,2330,218766,Xantos
2370,2370,1494027,Lady Gaga & Bradley Cooper
2371,2371,447,Lady Gaga
2380,2380,1665,Machine Gun Kelly
2381,2381,1416685,Machine Gun Kelly & Camila Cabello
2382,2382,1684885,Machine Gun Kelly
2399,2399,1136463,Jesse Jo Stark
2400,2400,353717,Ricardo Montaner
2420,2420,43383,Sam Smith
2480,2480,1015048,Zay Hilfigerrr
2482,2482,20551,Bart Baker
2486,2486,989176,Bali Baby
2487,2487,1531748,City Of Angelo
2488,2488,1406214,Lil Boii Kantu
2519,2519,483838,Manuel Medrano
2529,2529,365909,Beatriz Luengo
2539,2539,361468,Café Tacvba
2569,2569,15695,Martin Solveig
2572,2572,485079,Martin Solveig & GTA
2575,2575,389850,Martin Solveig & The Cataracs
2579,2579,72916,The Vamps
2580,2580,1122649,The Vamps & Martin Jensen
2581,2581,1118420,The Vamps & Matoma
2588,2588,1407292,Danny Avila & The Vamps
2589,2589,1174,Kings of Leon
2599,2599,539524,Matisse & Sadko
2600,2600,1663063,Matisse (MX)
2601,2601,1012419,Martin Garrix & Matisse & Sadko
2603,2603,491003,M-3ox
2606,2606,360283,Matisse
2609,2609,21100,Oasis
2619,2619,55903,Zara Larsson
2621,2621,646114,Zara Larsson & MNEK
2669,2669,253284,Enjambre
2690,2690,1560123,Karol G & Anuel AA
2697,2697,1629235,DJ Luian
2709,2709,492,Big Sean
2710,2710,1559094,Bad Bunny
2711,2711,229871,PlanBe
2712,2712,1463,Plan B
2714,2714,44080,Migos
2717,2717,351610,Plan B (PR)
2729,2729,241761,DRAM
2730,2730,325757,Roy Woods
2732,2732,301,DJ Drama
2735,2735,633346,AK Ausserkontrolle
2736,2736,25561,Tinashe
2737,2737,16751,Chance the Rapper
2769,2769,1084521,Zedd & Alessia Cara
2770,2770,394321,Alessia Cara
2774,2774,161507,Troye Sivan
2800,2800,344497,Luis Fonsi
2804,2804,1250386,Luis Fonsi & Demi Lovato
2806,2806,1500232,Luis Fonsi & Stefflon Don
2809,2809,14181,The xx
2849,2849,1232654,Tiësto & Dzeko
